default_modelparameterID,organismID,parameterID,value,description
128,1,166,30010.0,CO2 Henry constant
129,1,167,30010.0,CO2 Henry constant under normal conditions
130,1,168,-0.02723,Normed parameter of O2 Bunsen coefficient
131,1,169,0.0005627,Normed parameter of O2 Bunsen coefficient
132,1,170,-6.597e-06,Normed parameter of O2 Bunsen coefficient
133,1,171,3.28e-08,Normed parameter of O2 Bunsen coefficient
134,1,172,-0.03889,Normed parameter of CO2 Bunsen coefficient
135,1,173,0.0009442,Normed parameter of CO2 Bunsen coefficient
136,1,174,-1.328e-05,Normed parameter of CO2 Bunsen coefficient
137,1,175,8.11e-08,Normed parameter of CO2 Bunsen coefficient
138,1,176,4.31e-07,1. CO2 dissociation constant
139,1,177,5.61e-11,2. CO2 dissociation constant
140,1,178,0.5,Parameter for kLa calculation
141,1,179,0.5,Parameter for kLa calculation
142,1,180,-0.05,Parameter for kLa calculation
143,1,181,1.167,Specific heat capacity of water
144,1,182,2170.0,Evaporation enthalpie of water
145,1,183,1e-07,pH norm concentration
146,1,184,0.46,Maximum specific growth rate glucose
147,1,185,0.21921,Yield coefficient of gram cells per gram substrate
148,1,186,0.553,Substrate growth yield coefficient glucose
149,1,187,0.2,Product yield coefficient glucose
150,1,188,0.06,Spcific substrate maintenance rate glucose
151,1,189,0.04,Substrate limitation constant glucose
152,1,190,0.0018,Inhibition of glycerine uptake in presence of glucose
153,1,191,0.35,Maximum specific growth rate glycerol
154,1,193,0.4,Substrate growth yield coefficient glycerine
155,1,194,0.1,Product yield coefficient glycerine
156,1,196,0.05,Substrate limitation constant glycerol
157,1,197,0.1,Maximum specific growth rate acetate
158,1,199,0.2,Substrate growth yield coefficient acetate
159,1,200,1.0,Product yield coefficient acetate
160,1,202,0.06,Substrate limitation constant acetate
161,1,203,0.0018,Inhibition of acetate uptake in presence of glucose
162,1,204,0.003,Inhibition of acetate uptake due to glycerine
163,1,205,0.40601,Yield coefficient of gram cells per gram oxygen
164,1,206,1.367,Oxygen growth yield coefficient
165,1,207,1.375,Cell internal respiratory behavior
166,1,208,0.005,Specific O2 maintenance rate
167,1,209,0.69,Relation CO2/O2 transition
168,1,210,0.0004,Oxygen limitation constant
169,1,211,0.0005,Inhibition of acetate production due to O2
170,1,212,60.0,Molar mass of product
171,1,213,0.0,Titration acid yield coefficient cells
172,1,214,0.185,Ammonia yield coefficient cells
173,1,215,32.0,"Added by me, working point of cascade temperature slave controller"
174,1,216,35.0,Optimal temperature required for growth
175,1,217,5.0,Minimum liquid temperature required for growth
176,1,218,47.0,Maximum liquid temperature required for growth
177,1,219,100.0,Antifoam-activity gain per addition step Ttast
178,1,220,4.0,Cell antifoam adsorption constant
179,1,221,0.09,Foam consistency factor
180,1,222,0.1,Cellspecific foam build up rate
181,1,223,0.0125,Time constant of foam formation at cXL = 0 g/l
182,1,224,8.333e-05,Addition unit Ttast
183,1,225,0.975,Activity decline due to antifoam addition
184,1,226,6.8,Optimal pH required for growth
185,1,227,4.0,Minimum pH required for growth
186,1,228,9.0,Maximum pH required for growth
187,1,229,2.0,Calculation interval
188,1,230,1.0,Speed factor of simulation
190,1,232,0.0,Inoculation flag
191,2,1,400.0,Setpoint for agitation speed
192,2,2,4.8,Value of pH Setpoint
193,2,3,20.0,Value of pO2 setpoint
194,2,4,30.0,Value of temperature Setpoint
195,2,5,14.0,Liquid weight setpoint
196,2,6,6.0,Value of chosen aeration rate
197,2,7,7.5,Aeration rate AIR extern
198,2,8,0.0,Aeration rate O2 extern
199,2,9,0.0,Aeration rate N2 extern
200,2,10,0.0,Aeration rate CO2 extern
201,2,11,0.5,Pressure setpoint
202,2,12,20.0,Harvest rate
203,2,13,5.0,Substrate concentration setpoint for reservoir 1
204,2,14,2.0,Substrate concentration setpoint for reservoir 2
205,2,16,0.155,Pump rate setpoint for reservoir 1
206,2,17,0.05,Pump rate setpoint for reservoir 2
207,2,19,3.0,Initial cell concentration t = 0 h
208,2,20,100.0,Partial pressure of dissolved oxygen at t = 0 h
209,2,21,5.0,Initial pH at t = 0 h
210,2,22,5.0,Initial volumme in reactor
211,2,23,30.0,Initial temperature in liquid phase at t = 0 h
212,2,24,30.0,Initial temperature in double jacket at t = 0 h
213,2,25,25.0,Initial glucose concentration t = 0 h
214,2,26,0.0,Initial glycerine concentration t = 0 h
215,2,27,0.0,Initial acetate concentration t = 0 h
216,2,28,0.0,Product concentration in liquid at t = 0 h
217,2,29,0.0,Product concentration in cells at t = 0 h
218,2,30,0.014735071,O2-concentration in liquid phase at t = 0 h
219,2,31,150000.0,Pressure at calibration
220,2,32,0.2094,Molar concentration of oxygen at calibration
221,2,33,0.004,Molar concentration of carbon dioxide at calibration
222,2,34,150.0,Gylcerin concentration in reservoir 1
223,2,35,0.0,Methanol concentration in reservoir1
224,2,37,0.0,Concentration of cells in glycerol reservoir
225,2,38,3.0,Glycerol reservoir volume
226,2,39,1.263,Glycerol reservoir density
227,2,40,0.0,Dissolved oxygen concentration in reservoir
228,2,41,0.0,Concentration of product in glycerol reservoir
229,2,42,0.0,Total CO2 concentration in reservoir
230,2,43,0.0,Gylcerin concentration in reservoir 2
231,2,44,792.0,Methanol concentration in reservoir 2
232,2,46,0.0,Concentration of cells in methanol reservoir
233,2,47,2.0,Methanol reservoir volume
234,2,48,0.79,Methanol reservoir density
235,2,49,0.0,Dissolved oxygen concentration in reservoir
236,2,50,0.0,Concentration of product in methanol reservoir
237,2,51,0.0,Total CO2 concentration in reservoir
238,2,61,0.5,Pulse feed factor of reservoir 1
239,2,62,0.5,Maximum pump rate of reservoir 1
240,2,63,0.1,Growth rate set value for fed-batch 1
241,2,64,0.5,Pulse feed factor of reservoir 2
