time in h,cXL in g/l,cS1L in g/l,cS2L in g/l,cS3L in g/l,NSt in rpm,FnG in l/min,FnO2 in l/min,FnN2 in l/min,FnCO2 in l/min,pHL in -,thetaL in °C
0,0,10,0,0,400,7.5,0,0,0,7.5,32
0.000555555555555556,0,10,0,0,450,7.5,0,0,0,7.33158598368872,32.0003968106521
0.00111111111111111,3,9.99986111209753,0,0,450,7.5,0,0,0,7.33158706705469,32.0009684457936
0.00166666666666667,3.00063640819055,9.99839549910108,0,0,450,7.5,0,0,0,7.33074671140885,32.0014426758093
0.00222222222222222,3.00127325358591,9.99692889218774,0,1.12674978419057e-05,450,7.5,0,0,0,7.32986358665871,32.0032561783678
0.00277777777777778,3.00191064113651,9.99546387779866,0,2.24121537491396e-05,450,7.5,0,0,0,7.327202067719,32.0049190535842
0.00333333333333333,3.00254714007392,9.99400024674466,0,3.40796577663771e-05,450,7.5,0,0,0,7.32455549961928,32.0064392307865
0.00388888888888889,3.00318286596359,9.99253825178892,0,4.6325347821436e-05,450,7.5,0,0,0,7.32192655733412,32.0078269616052
0.00444444444444444,3.00381767901046,9.99107812619272,0,5.92076773203976e-05,450,7.5,0,0,0,7.31931388887778,32.0090912906851
0.005,3.00445145017988,9.989620033647,0,7.27801026580426e-05,450,7.5,0,0,0,7.31671679468806,32.0102406409282
0.00555555555555556,3.00508408892609,9.9881641359242,0,8.70791021728468e-05,450,7.5,0,0,0,7.31413473856787,32.0112829135191
0.00611111111111111,3.00571550577112,9.98671059372202,0,0.000102140675585947,450,7.5,0,0,0,7.31156710961181,32.01222545563
0.00666666666666667,3.00634561183348,9.9852595706646,0,0.000118000533371819,450,7.5,0,0,0,7.30901330862485,32.013075099213
0.00722222222222222,3.00697431661487,9.98381123324151,0,0.000134695064288308,450,7.5,0,0,0,7.30647273892033,32.0138381932953
0.00777777777777778,3.0076015280336,9.98236575059673,0,0.000152261306122092,450,7.5,0,0,0,7.30394481132974,32.0145206379974
0.00833333333333333,3.00822715254144,9.98092329394753,0,0.000170736880494635,450,7.5,0,0,0,7.30142894432898,32.0151279161833
0.00888888888888889,3.00885109544513,9.97948403585705,0,0.000190159838168067,450,7.5,0,0,0,7.29892456489441,32.0156651232048
0.00944444444444444,3.00947326130886,9.97804814935159,0,0.000210568469920122,493.004981658754,7.5,0,0,0,7.29643110927316,32.0161369946808
0.01,3.01009355444265,9.97661580688922,0,0.00023200108134519,522.536410888976,7.5,0,0,0,7.29394802397787,32.0168297652371
0.0105555555555556,3.01071187947295,9.97518717136104,0,0.000254495733549959,540.313369142562,7.5,0,0,0,7.29147476698206,32.017676605988
0.0111111111111111,3.01132814632062,9.97376240459431,0,0.000278090091855786,548.870770903066,7.5,0,0,0,7.28901080709875,32.0185950821515
0.0116666666666667,3.01194226549767,9.97234166631984,0,0.000302820936698495,550.241141109358,7.5,0,0,0,7.28655557782645,32.0195101126981
