time in h,cXL in g/l,cS1L in g/l,cS2L in g/l,cS3L in g/l,qXpX in 1/h,pO2 in %,NSt in rpm,FnG in l/min,FnAIR in l/min,FnO2 in l/min,FnN2 in l/min,FnCO2 in l/min,pHL in -,thetaL in °C,pG in pa,xOGin in -,xOG in -,xCG in -,xOL in -,cOL in g/l,RQ in mol/mol,QO2max in g/(lh),QCO2max in g/(lh),OTR in g/(lh),CTR in g/(lh),OUR in g/(lh),kLa in 1/h,Vacid in l,Vbase in l,AAF in l,VL in l,VT1 in l,VT2 in l,FT1 in l/h,FT2 in l/h,pHLm in -,thetaLm in °C,pO2m in %,FR1 in l/h,cS1Lm in g/l,cS2Lm in g/l,cS3Lm in g/l
0,0,10,0,0,0,100,400,7.5,7.5,0,0,0,7.5,32,200000,0.2094,0.2094,0.004,0.15705,0.0113463765300331,0.1,64.2512939496698,88.345529180796,0.26448431866734,0,0,69.9300744957475,0,0,0,10,1,1,0,0,7.5,32,100,0,10,0,0
0.000555555555555556,0,10,0,0,0,100.135879957392,450,7.5,7.5,0,0,0,7.33158598368872,32.0003968106521,151330,0.2094,0.206046950796341,0.004,0.15705,0.0114933122626261,0.0001,64.2512939496698,88.345529180796,0.248567013090117,0.143078346527416,0,77.8966469090291,0,0,0,10,1,1,0.25,0,7.5,32,100,0,10,NaN,NaN
0.00111111111111111,3,9.99986111209753,0,0,0.406803151032436,100.494434153031,450,7.5,7.5,0,0,0,7.33158706705469,32.0009684457936,151330,0.2094,0.206329471311217,0.000138450111989555,0.210248683889674,0.0116312444387062,0.0001,64.2512939496698,88.345529180796,0.248947460901405,0.0119833654358137,0,92.4664980199224,0,0,0,10.0001388888889,0.999861111111111,1,0.25,0,7.49999999870051,32.0000000000031,100.000000000839,0,10,NaN,NaN
0.00166666666666667,3.00063640819055,9.99839549910108,0,0,0.406984045843369,101.023759305957,450,7.5,7.5,0,0,0,7.33074671140885,32.0014426758093,151330,0.2094,0.20632475339126,0.00164002182381677,0.212773565927826,0.0117693860597266,0.0001,64.2504015829812,88.345529180796,0,0.0121137416397155,0.980978154740384,92.4656036314056,0.000138888888888689,0,0,10.0002777777778,0.999722222222223,1,0.25,0,7.49999999740103,32.0000000000105,100.000000003891,0,9.99999999999979,NaN,NaN
0.00222222222222222,3.00127325358591,9.99692889218774,0,1.12674978419057e-05,0.407227737997575,101.05605802415,450,7.5,7.5,0,0,0,7.32986358665871,32.0032561783678,151330,0.2094,0.2094,0.00162919281931409,0.215302031019048,0.0112242386085096,0.0001,64.2495092410798,88.3443021765991,0,0.0120790925040439,0.981721172592796,92.4649788282567,0.000277777777777377,0,0,10.0004166666667,0.999583333333334,1,0.25,0,7.49999999609506,32.0000000000217,100.00000001021,0,9.99999999999731,NaN,NaN
0.00277777777777778,3.00191064113651,9.99546387779866,0,2.24121537491396e-05,0.406613529049131,100.126730734701,450,7.5,7.5,0,0,0,7.327202067719,32.0049190535842,151330,0.2094,0.2094,0.00163204369895535,0.205334547234277,0.010678685945868,0.0001,64.2486169239647,88.3430752064847,0,0.011562489639822,0.980581023060407,92.4643540380845,0.000416666666666066,0,0,10.0005555555556,0.999444444444445,1,0.25,0,7.49999999478228,32.0000000000468,100.000000016729,0,9.99999999999257,NaN,NaN
0.00333333333333333,3.00254714007392,9.99400024674466,0,3.40796577663771e-05,0.406068958725987,98.427150680184,450,7.5,7.5,0,0,0,7.32455549961928,32.0064392307865,151330,0.2094,0.2094,0.00167589639702511,0.195358749437814,0.0101337742738916,0.0001,64.2477246316348,88.3418482704514,0.0193449631715732,0.0110641321850192,0.97959340346733,92.4637292608789,0.000555555555554754,0,0,10.0006944444444,0.999305555555557,1,0.25,0,7.49999999344896,32.0000000000848,100.000000017511,0,9.99999999998557,NaN,NaN
0.00388888888888889,3.00318286596359,9.99253825178892,0,4.6325347821436e-05,0.405440946831046,96.1214051174535,450,7.5,7.5,0,0,0,7.32192655733412,32.0078269616052,151330,0.2094,0.209161872670846,0.0017203580330835,0.185393859173212,0.00960016597065277,0.0001,64.246832364089,88.3406213684978,0.0668087759133377,0.0105842305227166,0.978421711182499,92.4631044967681,0.000694444444443443,0,0,10.0008333333333,0.999166666666668,1,0.25,0,7.49999999209522,32.0000000001344,100.000000007803,0,9.99999999997631,NaN,NaN
0.00444444444444444,3.00381767901046,9.99107812619272,0,5.92076773203976e-05,0.404736010106866,93.3643473958592,450,7.5,7.5,0,0,0,7.31931388887778,32.0090912906851,151330,0.2094,0.208576996068848,0.00176532996808928,0.175635028700075,0.00909358461300257,0.0001,64.2459401213264,88.3393945006224,0.114214070614261,0.0101218568643372,0.977080185203323,92.4624797457413,0.000833333333332131,0,0,10.0009722222222,0.999027777777779,1,0.25,0,7.4999999907212,32.0000000001948,99.9999999838606,0,9.9999999999648,NaN,NaN
0.005,3.00445145017988,9.989620033647,0,7.27801026580426e-05,0.403977267005787,90.293073493031,450,7.5,7.5,0,0,0,7.31671679468806,32.0102406409282,151330,0.2094,0.207991960245744,0.00181081313723966,0.166370011573249,0.00861409166699588,0.0001,64.2450479033459,88.3381676668238,0.160632822383151,0.00967627473533088,0.975619474013105,92.4618550078105,0.00097222222222082,0,0,10.0011111111111,0.99888888888889,1,0.25,0,7.49999998932702,32.000000000265,99.9999999428998,0,9.99999999995103,NaN,NaN
